,x,y,geneSymbol
0,41.090824127197266,-50.014156341552734,13.MMHAP42FLE1
1,-57.819618225097656,-7.321338653564453,16
2,-38.40776824951172,-24.170366287231445,17
3,-36.40470504760742,-10.348444938659668,2
4,50.90895080566406,-24.35173225402832,211N06R
5,46.806758880615234,-38.68731689453125,256O10R
6,42.92994689941406,-46.39126968383789,272I21T
7,40.497764587402344,-47.96280288696289,304D23R
8,-56.09937286376953,-0.9080397486686707,32
9,31.172157287597656,-31.711788177490234,358A17R
10,20.342851638793945,-49.72048568725586,42J20R
11,36.84335708618164,-24.239253997802734,42T
12,-59.669010162353516,3.4620187282562256,43
13,-40.73419952392578,-25.33541488647461,5
14,2.160318613052368,1.341366171836853,5-HT2A
15,39.65963363647461,-48.18705368041992,502H20F
16,47.06867980957031,-38.46682357788086,502H20R
17,-40.43861770629883,-24.512306213378906,8
18,44.90692901611328,-41.27217102050781,8T
19,11.989219665527344,-30.012813568115234,A1BG
20,-6.098541259765625,-20.375520706176758,A1CF
21,12.325807571411133,-30.01912498474121,A2M
22,-0.7511513233184814,1.1845771074295044,A2ML1
23,-38.356468200683594,-11.441847801208496,A36R
24,30.494876861572266,-28.49222755432129,A4GALT
25,-13.109635353088379,-54.5787353515625,A4GNT
26,29.66649627685547,-36.1441764831543,AA517463
27,-8.930315017700195,-10.649774551391602,AAAS
28,34.302162170410156,-34.4998664855957,AABT
29,-32.26029586791992,-53.110355377197266,AADAC
30,17.14525032043457,-29.980878829956055,AADAT
31,-5.906125068664551,-8.291484832763672,AAGAB
32,-17.69290542602539,-6.020158290863037,AAK1
33,-31.884708404541016,-52.92079162597656,AAMP
34,-23.74995994567871,-51.07867431640625,AANAT
35,-8.371760368347168,-45.58055877685547,AAR2
36,-32.714176177978516,-53.837825775146484,AARS1
37,-6.4955573081970215,-13.500798225402832,AARS2
38,-17.570093154907227,-51.39552688598633,AASDH
39,-20.177234649658203,-56.25065612792969,AASDHPPT
40,24.368896484375,-17.983102798461914,AASS
41,-38.78053665161133,17.941614151000977,AATF
42,21.112598419189453,-18.43712615966797,AATK
43,-32.230552673339844,-53.00576400756836,AAVS1
44,-45.7939338684082,-32.85911560058594,ABA1
45,-47.514915466308594,-33.44309997558594,ABA3
46,-32.929664611816406,-53.104026794433594,ABAT
47,20.433252334594727,-37.29914474487305,ABCA1
48,-0.2403043955564499,-27.867231369018555,ABCA10
49,27.654390335083008,-20.058645248413086,ABCA12
50,-0.9850454926490784,-0.28039050102233887,ABCA13
51,-41.892452239990234,-16.301929473876953,ABCA2
52,-10.663933753967285,-17.16328239440918,ABCA3
53,36.408775329589844,-31.51651954650879,ABCA4
54,-18.529380798339844,18.536380767822266,ABCA5
55,-1.3614970445632935,0.8431363701820374,ABCA6
56,1.698141098022461,12.104759216308594,ABCA7
57,0.15854904055595398,-26.28398895263672,ABCA8
58,-0.15117375552654266,-27.840702056884766,ABCA9
59,8.828646659851074,13.16313362121582,ABCB1
60,-12.298182487487793,-18.528118133544922,ABCB10
61,7.820006370544434,12.108153343200684,ABCB11
62,-50.305843353271484,-27.158212661743164,ABCB19
63,-39.07575607299805,-33.330902099609375,ABCB25
64,10.25024127960205,11.241769790649414,ABCB4
65,-14.426423072814941,18.40898323059082,ABCB5
66,8.766797065734863,11.357967376708984,ABCB6
67,-21.682096481323242,-52.264556884765625,ABCB7
68,-12.280470848083496,-18.439109802246094,ABCB8
69,-27.684091567993164,-19.882970809936523,ABCB9
70,8.7620210647583,13.15149974822998,ABCC1
71,-14.417715072631836,18.263124465942383,ABCC10
72,5.63793420791626,8.751119613647461,ABCC11
73,-0.3250732719898224,-27.978439331054688,ABCC12
74,-0.2706056237220764,-27.84298324584961,ABCC13
75,9.268400192260742,14.10275936126709,ABCC2
76,9.449776649475098,11.677483558654785,ABCC3
77,9.462587356567383,11.413477897644043,ABCC4
78,9.08942985534668,11.327136039733887,ABCC5
79,46.82747268676758,19.016931533813477,ABCC6
80,14.345234870910645,11.417940139770508,ABCC8
81,15.611043930053711,11.432658195495605,ABCC9
82,3.850484848022461,-17.984573364257812,ABCD1
83,44.327423095703125,33.49991989135742,ABCD2
84,-11.028372764587402,-19.08058738708496,ABCD3
85,-11.05899429321289,-19.06436538696289,ABCD4
86,-40.13374710083008,3.0928409099578857,ABCE1
87,-32.51938247680664,-53.788795471191406,ABCF1
88,7.588684558868408,-5.541744709014893,ABCF2
89,0.1689339578151703,-29.198366165161133,ABCF3
90,16.92327880859375,29.2166805267334,ABCG1
91,-49.18117904663086,-27.376327514648438,ABCG11
92,8.893977165222168,12.944246292114258,ABCG2
93,-11.464249610900879,-20.659860610961914,ABCG4
94,5.73071813583374,11.410527229309082,ABCG5
95,5.614760875701904,11.405330657958984,ABCG8
96,-56.141929626464844,-14.404080390930176,ABF1
97,-54.51297378540039,-31.49786376953125,ABF2
98,-56.65713119506836,-32.342281341552734,ABF3
99,-53.9215087890625,-32.13816833496094,ABF4
100,-53.36688995361328,-19.561790466308594,ABH1
101,-12.039523124694824,-51.52102279663086,ABHD1
102,-20.613651275634766,-52.30655288696289,ABHD10
103,-2.8636348247528076,-40.40706253051758,ABHD11
